---
Mod (Link) |Description |Downloads |Latest Supported Version
**[Bouncy Life (Fabric)](https://www.curseforge.com/minecraft/mc-mods/bouncy-life)**|This mod gives the player the ability to immerse it as slime. Highly inspired by Tinker's Construct's Slime Sling.|4,254|1.16.1
**[Bow Infinity Fix](https://www.curseforge.com/minecraft/mc-mods/bow-infinity-fix)**|Removes need to have an arrow in your inventory to use the Infinity I enchant on your bow.|577,658|1.16.2
**[BreakableDragonEgg](https://www.curseforge.com/minecraft/mc-mods/breakabledragonegg)**|This mod prevents dragon egg from teleporting away while breaking.|11|1.15.2
**[BreakMe](https://www.curseforge.com/minecraft/mc-mods/breakme)**|Crashes minecraft/your PC when you die/take damage|80|1.16.2
**[Brighter](https://www.curseforge.com/minecraft/mc-mods/brighter)**|Increases the maximum brightness configurable in the video settings from 100% to 1000% allowing pitch black areas to appear as if under daylight.|975|1.14.2
**[brown sand](https://www.curseforge.com/minecraft/mc-mods/brown-sand)**|a mod that transforms soul sand into brown sand|34|1.15.2
**[Brute Imitation](https://www.curseforge.com/minecraft/mc-mods/brute-imitation)**|Allows parrots to imitate piglin brutes.|9|1.16-Snapshot
**[Bucket Hat](https://www.curseforge.com/minecraft/mc-mods/bucket-hat)**|Put a bucket on your head.|4,213|1.16.2
**[Buffer](https://www.curseforge.com/minecraft/mc-mods/buffer)**|A spiritual continuation of /dev/null, for Fabric! Store, carry, and use thousands of items from the palm of your hands!|4,264|1.15.2
**[BugBoy's Emerald Tools](https://www.curseforge.com/minecraft/mc-mods/bugboys-emerald-tools)**|Adds Emerald tools to minecraft.|673|1.15.2
**[Building Wands](https://www.curseforge.com/minecraft/mc-mods/building-wands)**|Building Wands|25,538|1.16.1
**[Bulky Shulkies](https://www.curseforge.com/minecraft/mc-mods/bulky-shulkies)**|More Bulky Shulker boxes.|7,233|1.16-Snapshot
**[Bunch o' Trinkets](https://www.curseforge.com/minecraft/mc-mods/bunch-o-trinkets)**|Adds a bunch of trinkets to t he game|56,834|1.16.1
**[Buzzing Tooltips](https://www.curseforge.com/minecraft/mc-mods/buzzing-tooltips)**|Displays the amount of bees inside a bee nest and beehive on the tooltip|26|1.15.2
**[Cactus Leather](https://www.curseforge.com/minecraft/mc-mods/cactus-leather)**|A simple mod that adds in a more sustainable alternative to standard leather|185|1.16.2
**[Caelus API (Fabric)](https://www.curseforge.com/minecraft/mc-mods/caelus-fabric)**|An API to provide developers access to elytra flight mechanics through an entity attribute.|1,687|1.16.2
**[Cake Chomps (Fabric)](https://www.curseforge.com/minecraft/mc-mods/cake-chomps-fabric)**|Adds sound and crumb particles when you eat cake.|207|1.16.2
**[Camp Fires Cook Mobs](https://www.curseforge.com/minecraft/mc-mods/camp-fires-cook-mobs)**|Mobs on camp fires drop cooked meat|218|1.16.2
**[Campanion](https://www.curseforge.com/minecraft/mc-mods/campanion)**|A camping mod adding all kind of utilities related to the outdoors.|94,154|1.16.2
**[Campfire Incense](https://www.curseforge.com/minecraft/mc-mods/inceanse)**|Throw your potion ingredient in the fire|2,618|1.16.1
**[cAn i MiNe thIS bLOCk?](https://www.curseforge.com/minecraft/mc-mods/can-i-mine-this-block)**|this mod is for very smart people who need a mod to know if they can mine a block.|3,138|1.16.2
**[Canvas Renderer](https://www.curseforge.com/minecraft/mc-mods/canvas-renderer)**|Advanced Rendering Engine for Fabric |14,489|1.16.2
**[Cardinal Components](https://www.curseforge.com/minecraft/mc-mods/cardinal-components)**|API for data-driven content|59,168|1.16.2
**[Cardinal Energy](https://www.curseforge.com/minecraft/mc-mods/cardinal-energy)**|An energy api for 1.14 fabric|4,582|1.14.4
**[Careful Break](https://www.curseforge.com/minecraft/mc-mods/careful-break)**|mined blocks drops go to inventory, instead of being droped in the world making it easier to mine blocks over the void or lava.|21|1.15.2
**[Carpet](https://www.curseforge.com/minecraft/mc-mods/carpet)**|Take full control over your vanilla game.|51,213|1.16.2
**[Carpet Extra](https://www.curseforge.com/minecraft/mc-mods/carpet-extra)**|Additional features for the carpet mod|11,021|1.16.2
**[Carpet TIS Addition](https://www.curseforge.com/minecraft/mc-mods/carpet-tis-addition)**|A carpet mod extension with more features|660|1.16.2
**[carrots](https://www.curseforge.com/minecraft/mc-mods/carrots)**|🥕 multicolor carrot bundles to feed your friends & roasted carrots with special effects!|1,565|1.14.3
**[Cart Boosts](https://www.curseforge.com/minecraft/mc-mods/cart-boosts)**|Brings back minecart boosting from earlier beta versions of Minecraft.|112|1.16.2
**[CartLoaders](https://www.curseforge.com/minecraft/mc-mods/cartloaders)**|Allows minecarts to load chunks they move into|389|1.16.2
**[Carved Melons](https://www.curseforge.com/minecraft/mc-mods/carved-melons)**|if carved pumpkins are so good how come there's no carved melons?|2,372|1.16.2
**[Catch Me If You Can! (CMIYC) [FABRIC 1.15]](https://www.curseforge.com/minecraft/mc-mods/catch-me-if-you-can-cmiyc)**|catch your friends and throw your enemies!|2,374|1.16.1
**[Cauldron Brewing](https://www.curseforge.com/minecraft/mc-mods/cauldron-brewing)**|Toss the brewing stand out the window! Also put lava, milk, and potions in a cauldron!|2,135|1.14.4
**[Cauldron Overhaul](https://www.curseforge.com/minecraft/mc-mods/cauldron-overhaul)**|Allows for cauldrons to store any fluid, and in any arbitrary ammount|1,104|1.16-Snapshot
**[Cave Biomes](https://www.curseforge.com/minecraft/mc-mods/cave-biomes)**|Makes cave exploration more fun by adding over 25 new cave biomes!|80,084|1.16.2
**[Cave Update (Fabric)](https://www.curseforge.com/minecraft/mc-mods/cave-update-fabric)**|Aims to overhaul caves in the overworld.  |320|1.16.1
**[CC: Restitched](https://www.curseforge.com/minecraft/mc-mods/cc-restitched)**|A port of CC: Tweaked to Fabric.|17|1.16.2
**[CC:T for Fabric](https://www.curseforge.com/minecraft/mc-mods/cc-tweaked-fabric)**|A fork of CC: Tweaked ported for the latest Fabric|2,168|1.14.4
**[Cereal](https://www.curseforge.com/minecraft/mc-mods/cereal)**|A delicious NBT serialization library!|454|1.14-Snapshot
**[Chain Suspension](https://www.curseforge.com/minecraft/mc-mods/chain-suspension)**|Allows suspending gravity-affected blocks from chains.|61|1.16.2
**[Chains-Link](https://www.curseforge.com/minecraft/mc-mods/chains-link)**|Mod that adds unique piston behavior to chain blocks, and fixes some other things.|1,739|1.16.2
**[Chaos Mod](https://www.curseforge.com/minecraft/mc-mods/chaos)**|A mod that adds two new materials to Minecraft.|186|1.16.1
**[Chat Bomb](https://www.curseforge.com/minecraft/mc-mods/chat-bomb)**|This mod is the bomb! DID SOMEBODY SAY BOMB?|1,384|1.14-Snapshot
**[Chat Bubbles](https://www.curseforge.com/minecraft/mc-mods/chat-bubbles)**|mmorpg style chat bubbles, shows what players say above their heads|375,433|1.15.2
**[Chat Heads](https://www.curseforge.com/minecraft/mc-mods/chat-heads)**|See who are you chatting with!|95|1.16.2
**[Chat Timestamps](https://www.curseforge.com/minecraft/mc-mods/chat-timestamps)**|Shows timestamps in chat|737|1.14
**[Chat Up!](https://www.curseforge.com/minecraft/mc-mods/chat-up)**|Raises in game chat by 10 pixels to improve visibility of armour hunches|1,889|1.16
**[ChatCalc (Fabric and Forge)](https://www.curseforge.com/minecraft/mc-mods/chatcalc)**|Clientside mod that turns your chat into a calculator|1,065|1.16.1
**[ChatEmotes](https://www.curseforge.com/minecraft/mc-mods/chatemotes)**|Spice up your chat with client-side chat emotes|1,237|1.16.1
**[Cheems Mod](https://www.curseforge.com/minecraft/mc-mods/cheems-mod)**|Adds Cheems to Minecraft|438|1.16-Snapshot
**[Cherished Worlds (Fabric)](https://www.curseforge.com/minecraft/mc-mods/cherished-worlds-fabric)**|Favorite/pin/bookmark certain worlds, which will always be at the top of the list and cannot be deleted.|12,033|1.16.2
**[Chest Latch Fixer](https://www.curseforge.com/minecraft/mc-mods/chest-latch-fixer)**|Fixes the latch on chests to prevent intersection|6,487|1.15.2
**[Chest Tracker](https://www.curseforge.com/minecraft/mc-mods/chest-tracker)**|Remember where you've put items.|814|1.16.1
**[ChestShop (for Fabric)](https://www.curseforge.com/minecraft/mc-mods/chestshop)**|A port of the Bukkit plugin ChestShop for Fabric.|77|1.16.2
**[Chicken Feathers](https://www.curseforge.com/minecraft/mc-mods/chicken-feathers)**|Chickens will occasionally shed feathers.|4,318|1.15.2
**[Chicken Nerf](https://www.curseforge.com/minecraft/mc-mods/chicken-nerf)**|Prevents random chicken egg laying. Instead, breeding chickens produces eggs. |132|1.16.2
**[Chunk Activator (Fabric)](https://www.curseforge.com/minecraft/mc-mods/chunk-activator)**|Keep chunks loaded even when you're away|13,188|1.16.1
**[Chunk In A Globe](https://www.curseforge.com/minecraft/mc-mods/chunk-in-a-globe)**|Have a Chunk that you can enter in your own globe.|6,409|1.15.2
**[ChunkBorders](https://www.curseforge.com/minecraft/mc-mods/chunkborders)**|Visualize chunk borders, locate chunk centers, and more.|28,350|1.16.1
**[Cinderscapes](https://www.curseforge.com/minecraft/mc-mods/cinderscapes)**|A biome mod expanding the life of The Nether|61,948|1.16.1
**[ClaimChunk](https://www.curseforge.com/minecraft/mc-mods/claimchunk)**|Chunk claim system for Fabric|857|1.14.1
**[ClassiCombat](https://www.curseforge.com/minecraft/mc-mods/classicombat)**|Classic Combat for fabric 1.14+ Should work in all versions past 1.9|632|1.16-Snapshot
**[Classy Creepers (Fabric)](https://www.curseforge.com/minecraft/mc-mods/classy-creepers)**|A mod that makes every creeper much more classy.|570|1.16-Snapshot
**[Clay Bucket](https://www.curseforge.com/minecraft/mc-mods/clay-bucket)**|Adds a clay bucket for early game.|2,248,811|1.15.2
**[CleanCut](https://www.curseforge.com/minecraft/mc-mods/cleancut)**|Successor of SwingThroughGrass - Attack enemies through obstructions! FORGE & FABRIC!|47,772|1.16.2
**[CleanView (Fabric)](https://www.curseforge.com/minecraft/mc-mods/cleanview-fabric)**|CleanView is a minecraft client mod that removes potion particles from your viewpoint|3,142|1.16.2
**[Clear Despawn (Fabric)](https://www.curseforge.com/minecraft/mc-mods/clear-despawn-fabric)**|Port of ClearDespawn forge to fabric|9,921|1.16.2
**[Clear Skies](https://www.curseforge.com/minecraft/mc-mods/clear-skies)**|Horizon and fog match the sky color|15,795|1.16.2
**[ClearView](https://www.curseforge.com/minecraft/mc-mods/clearview)**|Removes fog|1,325|1.16.1
**[ClickThrough](https://www.curseforge.com/minecraft/mc-mods/clickthrough)**|Click chests/containers through signs and item frames|141|1.16.2
**[Climatic World Type](https://www.curseforge.com/minecraft/mc-mods/climatic-world-type)**|Fabric mod which places biomes based on climatic features, compatible with Terrestria!|12,841|1.15-Snapshot
**[Clipboards](https://www.curseforge.com/minecraft/mc-mods/clipboards)**|Immersive note taking and to-do lists!|9,022|1.16-Snapshot
**[Clippy's Tippies ®](https://www.curseforge.com/minecraft/mc-mods/clippys-tippies)**|Tips in loading screens, © Clippy 1998.|9,523|1.16.1
**[Clojure Lib](https://www.curseforge.com/minecraft/mc-mods/clojure-lib)**|Shades Clojure for use by mods.|29|1.16.2
**[Cloth API (Fabric)](https://www.curseforge.com/minecraft/mc-mods/cloth-api)**|Generalized API for Fabric 1.14|83,417|1.16.2
**[Cloth Config API (Fabric)](https://www.curseforge.com/minecraft/mc-mods/cloth-config)**|Config Screen API for Fabric 1.14|101,802|1.16.2
**[Clothesline (Fabric)](https://www.curseforge.com/minecraft/mc-mods/clothesline-fabric)**|A seamless laundry experience that is definitely not an item transport mod for Fabric|6,756|1.16.2
**[Coal Nugget](https://www.curseforge.com/minecraft/mc-mods/coal-nugget)**|Adds a single-operation fuel crafted with coal or charcoal.|1,576|1.16.1
**[Color Unchained](https://www.curseforge.com/minecraft/mc-mods/color-unchained)**|Color Unchained is a simple mod which allows you to use Minecraft color formatting in different text areas around the game.|544|1.16.1
**[Coloration Mod](https://www.curseforge.com/minecraft/mc-mods/coloration-mod)**|Adds 107 different solid colored blocks to the game!|812|1.14.4
**[Colored Flames](https://www.curseforge.com/minecraft/mc-mods/colored-flames)**|A fabric mod that adds colorful and decorative flames|6,921|1.16-Snapshot
**[Colorful Campfire Smoke](https://www.curseforge.com/minecraft/mc-mods/colorful-campfire-smoke)**|Colorful Campfire Smoke|12,385|1.16.2
**[Colorful Cut](https://www.curseforge.com/minecraft/mc-mods/colorful-cut)**|Adds slab, stair, and wall variants of concrete and terracotta.|34|1.16.2
**[Colormatic](https://www.curseforge.com/minecraft/mc-mods/colormatic)**|Now you can customize Minecraft's hardcoded colors with a resource pack.|6,223|1.16.2
**[Columns](https://www.curseforge.com/minecraft/mc-mods/columns)**|Adds columns to Minecraft.|2,953|1.16.1
**[Colytra (Fabric)](https://www.curseforge.com/minecraft/mc-mods/colytra-fabric)**|Allows attachment of elytras to chestplates.|964|1.16.2
**[CombatEdit](https://www.curseforge.com/minecraft/mc-mods/combatedit)**|1.8-combat style mod for modern versions|779|1.16.1
**[Command Logger](https://www.curseforge.com/minecraft/mc-mods/command-logger)**|Logs commands you've semt in chat to a file|87|1.15.2
**[Command Macros](https://www.curseforge.com/minecraft/mc-mods/command-macros)**|Create keybinds for commands!|24,933|1.16.2
**[CommandSpy](https://www.curseforge.com/minecraft/mc-mods/commandspy)**|Serverside mod that logs commands from players or cmd blocks to console.|245|1.16.2
**[Common Expansion: Foodstuffs](https://www.curseforge.com/minecraft/mc-mods/ce-foodstuffs)**|An expansion onto the existing foodstuffs in Minecraft with intricate, well-made additions.|2,301|1.16.2
**[Compact Portals](https://www.curseforge.com/minecraft/mc-mods/compact-portals)**|Compact Portals For Dimensions|116|1.15.2
**[Compact Status Effects](https://www.curseforge.com/minecraft/mc-mods/compact-status-effects)**|Reduced space consumption of status effects|21,945|1.16.2
**[CompactStorage](https://www.curseforge.com/minecraft/mc-mods/compactstorage)**|Adding 24x12 slot upgradable chests and backpacks|5,810,147|1.16.2
**[CompleteConfig](https://www.curseforge.com/minecraft/mc-mods/completeconfig)**|A flexible, all-in-one configuration API|362|1.16.2
**[Composable Automation (Fabric)](https://www.curseforge.com/minecraft/mc-mods/composable-automation)**|Expand vanilla's capacity for automation without god blocks.|9,583|1.15.2
**[Composing](https://www.curseforge.com/minecraft/mc-mods/composing)**|An all-new way to improve your tools!|4,369|1.16.2
**[Compost Recipes](https://www.curseforge.com/minecraft/mc-mods/compost-recipes)**|Adds recipe support for the composter.|5,927|1.15.2
**[Compressed Blocks for Fabric](https://www.curseforge.com/minecraft/mc-mods/compressed-blocks-for-fabric)**|Adds compressed blocks to minecraft|14,063|1.16.1
**[Compressed coal (Fabric)](https://www.curseforge.com/minecraft/mc-mods/compressed-coal-fabric)**|(:|390|1.15
**[Compressium - Fabric](https://www.curseforge.com/minecraft/mc-mods/compressium-fabric)**|Compressed Blocks.|414|1.14.4
**[concern](https://www.curseforge.com/minecraft/mc-mods/concern)**|very concerning mod|34|1.16.1
**[concernedtater](https://www.curseforge.com/minecraft/mc-mods/concernedtater)**|a mod that adds concernedtater to LTR|4|1.16.1
**[Confabricate](https://www.curseforge.com/minecraft/mc-mods/confabricate)**|Configurate + Minecraft TypeSerializers for Fabric|61|1.16.2
**[Connected Block Textures](https://www.curseforge.com/minecraft/mc-mods/connected-block-textures)**|Support for MCPatcher/Optifine-format connected textures with Fabric.|7,004|1.16.1
**[Console HUD Fabric](https://www.curseforge.com/minecraft/mc-mods/console-hud-fabric)**|Fabric port of Console HUD|3,463|1.14.4
**[Controlling for Fabric](https://www.curseforge.com/minecraft/mc-mods/controlling-for-fabric)**|Adds a search bar to the Key-Bindings menu|44,705|1.16.2
